param HB:=
    1	1
    2	3
    3	3
    4	4
    5	2
    6	4
    7	3
    8	4
    9	2
    10	2
    11	3
    12	2
;
param D:=
    1	2
    2	3
    3	3
    4	4
    5	1
    6	2
    7	4
    8	2
    9	3
    10	3
    11	4
    12	1
;
param V:=
    1	4
    2	2
    3	4
    4	3
    5	2
    6	2
    7	2
    8	3
    9	4
    10	4
    11	3
    12	2
;
param HD:=
    1	2
    2	2
    3	3
    4	1
    5	4
    6	2
    7	1
    8	2
    9	1
    10	1
    11	4
    12	4
;
param MinPlay:=
    1	4
    2	3
    3	3
;
