param Dem:																								
		1	2	3	4	5	6	:=
	1	34	246	40	375	81	255
	2	87	107	57	157	44	398
	3	52	128	87	400	40	469
	4	32	406	39	333	34	418
	5	92	144	37	207	31	440
	6	33	284	73	448	57	182
;
param a:								
		1	2	3	4	5	6	7	8	:=
	1	1	1	2	3	2	3	1	1
	2	1	1	1	0	2	0	1	2
	3	1	1	2	3	1	1	3	0
	4	3	2	2	0	1	3	3	0
	5	0	0	1	2	0	1	0	1
	6	1	0	3	3	2	2	3	3
;
param h:=	
	1	1
	2	2
	3	1
	4	1
	5	6
	6	3
;
param r:=	
	1	27
	2	38
	3	36
	4	28
	5	19
	6	39
;
param Dia:=	
	1	27
	2	24
	3	23
	4	24
	5	26
	6	20
;
